"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2018-02-08",225.330002,226.630005,216.259995,216.460007,4902400,204.427002
"2018-02-09",218,223.279999,212.009995,220.960007,6225300,208.676865
"2018-02-12",222.440002,228,222.149994,225.690002,4912000,213.143921
"2018-02-13",223.149994,227.119995,222.389999,226.639999,3536800,214.041077
"2018-02-14",224.949997,229.339996,223.919998,228.779999,2878400,216.062119
"2018-02-15",229.270004,230,221.740005,226.020004,4662700,213.455566
"2018-02-16",225.990005,230.550003,225.699997,229.369995,3621700,216.619339
"2018-02-20",227.910004,228.75,225.610001,226.660004,3172300,214.059952
"2018-02-21",226.149994,229.350006,225.110001,225.130005,3371900,212.615021
"2018-02-22",226.300003,229.839996,225.080002,227.089996,2767900,214.466064
"2018-02-23",227.899994,230.320007,225.910004,230.160004,2393900,217.365387
"2018-02-26",231.639999,234.509995,229.699997,234.059998,3307000,221.04863
"2018-02-27",234.399994,235.889999,232.440002,232.520004,2899500,219.594238
"2018-02-28",234.419998,234.75,226.089996,226.160004,4368600,213.587769
"2018-03-01",225.699997,229.289993,222.740005,224.449997,3514600,211.972794
"2018-03-02",223.210007,225.820007,222.589996,225.190002,2613600,212.671692
"2018-03-05",223.369995,229.429993,222.789993,228.380005,2627300,215.684387
"2018-03-06",228.919998,229.149994,223.889999,226.179993,2652800,213.606644
"2018-03-07",224.350006,227.820007,223.75,227.270004,3242200,214.636063
"2018-03-08",227.929993,227.990005,223.919998,224.729996,3500900,212.939972
"2018-03-09",226.110001,226.520004,222.5,225.429993,4834600,213.603256
"2018-03-12",226.210007,227,222.770004,222.770004,3117300,211.082809
"2018-03-13",223.529999,228.059998,223.160004,226.940002,3343800,215.034042
"2018-03-14",227.130005,229.389999,225.020004,225.380005,3048200,213.555862
"2018-03-15",225.830002,230.759995,225.660004,229.479996,3330200,217.440796
"2018-03-16",229.660004,231.270004,227.75,227.860001,5690300,215.905746
"2018-03-19",227.309998,227.970001,223.679993,225.050003,3407300,213.24321
"2018-03-20",225.160004,227.600006,223.880005,226.779999,3429100,214.882431
"2018-03-21",226.449997,227.440002,222.820007,222.820007,3419800,211.130203
"2018-03-22",221.649994,221.660004,215.100006,215.210007,5894800,203.919449
"2018-03-23",215.75,217.729996,212.5,212.550003,5741200,201.398972
"2018-03-26",215.190002,219.410004,214.699997,219.070007,3561300,207.57692
"2018-03-27",220.320007,221.949997,216.410004,217.960007,3722100,206.525146
"2018-03-28",218.889999,219.910004,217.039993,218.5,3179500,207.036835
"2018-03-29",219.380005,223.350006,214,214,5529400,202.772873
"2018-04-02",218.460007,222.990005,214.630005,217.199997,6220700,205.804977
"2018-04-03",220.339996,225.100006,219.690002,224.580002,4652000,212.797821
"2018-04-04",220.690002,229.479996,220.419998,228.789993,4674000,216.786957
"2018-04-05",229.460007,231.580002,226.800003,229.070007,3348100,217.052307
"2018-04-06",226.649994,228.190002,221.820007,223.960007,3231700,212.210373
"2018-04-09",225.580002,226.130005,222.360001,222.729996,3031500,211.044937
"2018-04-10",225.399994,228.160004,223.490005,226.789993,2737500,214.891907
"2018-04-11",224.270004,225.389999,221.690002,221.899994,3482100,210.258423
"2018-04-12",224.039993,225.75,223.410004,224.240005,2664500,212.475677
"2018-04-13",225.100006,226.130005,223.080002,224.279999,2496600,212.513565
"2018-04-16",227.110001,231.850006,226.350006,230.320007,4510600,218.236725
"2018-04-17",239.309998,241.669998,236.080002,238.550003,6180300,226.034943
"2018-04-18",239,239.740005,236.300003,236.399994,2940100,223.997742
"2018-04-19",236.199997,238.270004,234.800003,235.759995,2734900,223.391327
"2018-04-20",236.050003,237.100006,233.5,235.059998,2842000,222.728012
"2018-04-23",235.289993,236.210007,233.080002,234.339996,3051700,222.045807
"2018-04-24",235.949997,237.320007,232.559998,234.220001,2771200,221.932114
"2018-04-25",233.449997,235.100006,230.440002,234.899994,3118800,222.576401
"2018-04-26",235.729996,237.839996,234.330002,237.029999,2252800,224.594696
"2018-04-27",237.630005,240.539993,237.149994,240.179993,2301800,227.579391
"2018-04-30",241,241,236.399994,236.399994,3446900,223.997742
"2018-05-01",237,237.490005,234.360001,236.850006,2633500,224.424149
"2018-05-02",235.380005,236.210007,232.860001,233.460007,3542700,221.21196
"2018-05-03",231.970001,234.800003,229.309998,234.149994,2731600,221.865768
"2018-05-04",233.100006,236.649994,232.160004,235.899994,1999900,223.523941
"2018-05-07",235.880005,236.990005,232.630005,233.779999,3237800,221.515182
"2018-05-08",233.720001,233.720001,230.649994,232.029999,2698300,219.856995
"2018-05-09",233.050003,233.419998,228.229996,229.210007,3504200,217.184952
"2018-05-10",230.149994,234.289993,229.360001,233.710007,2169000,221.448853
"2018-05-11",233.580002,238.800003,232.949997,238.279999,3044900,225.779099
"2018-05-14",238.899994,243.669998,238.820007,242.899994,3893600,230.156708
"2018-05-15",241.860001,242.220001,238.669998,239.5,2396600,226.935089
"2018-05-16",239.649994,241.809998,238.570007,241.720001,1906100,229.038605
"2018-05-17",241.490005,243.559998,240.539993,242.960007,2418700,230.213547
"2018-05-18",243.369995,244.759995,242.389999,244.639999,2283600,231.805435
"2018-05-21",245,249.169998,244.839996,247.899994,3040700,234.894394
"2018-05-22",248,248.050003,243.839996,245.179993,2644100,232.317078
"2018-05-23",244.029999,245.5,241.639999,244.259995,3047800,231.445358
"2018-05-24",244.570007,245.440002,242.199997,242.729996,2610400,229.995651
"2018-05-25",242.949997,245.580002,242.440002,244.949997,1554900,232.099167
"2018-05-29",243.860001,243.860001,240.240005,242.169998,2837800,229.465027
